Crop,ph_min,ph_max,Soil,,
rice,5,7,clayeyloamsoil,,
wheat,6,7,loamysoil,,
sugarcane,5,8.5,redvolcanicsoil,,
sugarcane,5,8.5,alluvialsoil,,
Maize,5.6,7.5,leachedredsoil,,
maize,5.6,7.5,temperatepodzols,,
cotton,5.5,8,lateritesoil,,
cotton,5.5,8,alluvialsoil,,
cotton,5.5,8,blacksoil,,
cotton,5.5,8,loamysandsoil,,
carrot,6,7,sandysoil,,
carrot,6,7,clayeyloamsoil,,
brinjal,5.5,6,siltloamsoil,,
brinjal,5.5,6,clayloamsoil,,
bottlegourd,6.5,7.5,sandyloamsoil,,
tomato,6,6.8,loamsoil,,
tomato,6,6.8,sandyloamsoil,,
onion,5.5,6.5,sandyloam,,
onion,5.5,6.5,heavyclaysoil,,
potato,4.8,5.5,welldrainedloamsoil,,
potato,4.8,5.5,sandyloamsoil,,
potato,4.8,5.5,loamysoil,,
lemon,5.5,6.5,sandyloamsoil,,
lemon,5.5,6.5,loamysoil,,
lemon,5.5,6.5,slightlyalkalinesoil,,
cabbage,6.5,6.8,sandloamsoil,,
cabbage,6.5,6.8,clayloamsoil,,
rice,5,7,alluvialsoil,,
coconut,5,8,lateritesoil,,
coconut,5,8,aluvialsoil,,
banana,6,7.5,loamysoil,,
jute,5,5.8,loamysoil,,
