State,District,Year,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,Total
andhrapradesh,guntur,2014,1.3,2.4,0.3,0.3,65.2,19.1,130.5,116.9,144.7,149.6,51.7,0.7,682.7
andhrapradesh,guntur,2015,0.2,0,0.7,18.8,17.3,183.3,93.5,144.9,142.4,31.8,78.6,0.9,712.4
andhrapradesh,guntur,2016,0,0,0,0.2,112.8,199.6,87.5,194.1,289.9,71.5,1.9,7.6,965.1
andhrapradesh,guntur,2017,0,0,6.9,2.1,40.5,169.1,139.9,186.7,145.1,93.7,7.6,0,791.6
andhrapradesh,guntur,2018,0,0,1.7,14.1,31.8,114.2,136,210.8,64.9,18.1,18.1,50.1,659.8
andhrapradesh,chittor,2014,0.5,1,11.9,2.5,64.7,72.8,56.7,112.6,72.3,125.1,55.3,25,600.4
andhrapradesh,chittor,2015,0.9,0,19.1,89.6,63.4,90.6,46.2,132.1,124.4,159.9,596.5,96.2,1418.9
andhrapradesh,chittor,2016,2.9,0,2.9,0.4,106.7,137.4,153.5,22.3,46.1,32.7,11.6,147.5,664
andhrapradesh,chittor,2017,15.5,0,26.9,9,55.4,92.3,85,207.9,226.7,289.4,99.5,31.4,1139
andhrapradesh,chittor,2018,0,14.4,28.5,10.9,70,73.2,47.6,58.9,112.5,59.7,106.2,13.6,595.5
andhrapradesh,kurnool,2014,0,1.1,19.7,7.7,48.9,83.2,114.4,153.4,95.1,80.4,23.3,1.7,628.9
andhrapradesh,kurnool,2015,1.4,0,10.6,44.5,21.3,39.1,44,82,165.3,38.4,21.3,2.4,470.3
andhrapradesh,kurnool,2016,4.3,0,0.3,0.5,71.1,151,131,72.1,163.2,9,2.2,1.6,606.3
andhrapradesh,kurnool,2017,0,0,13.9,8.9,24.8,109.2,57.8,176.3,176.5,175.4,1.1,0,743.9
andhrapradesh,kurnool,2018,0,0.1,3,13.2,35.7,73.8,49.1,62.1,97.2,34.3,5.9,0.9,375.3
andhrapradesh,westgodavari,2014,2.2,0.7,1.1,4.5,127.8,17.3,257,160.9,202.5,72.7,10.7,3.7,861.1
andhrapradesh,westgodavari,2015,0.6,0.1,1.3,6.7,33.3,278.9,125.6,243.5,179.7,90.5,93.5,0.2,1053.9
andhrapradesh,westgodavari,2016,1.1,0,2.7,0,101.4,333.3,173.1,162.1,315.6,46,9.4,3.9,1148.6
andhrapradesh,westgodavari,2017,0,0,5.9,6,24.4,182.6,258.8,243.6,119,121,3.7,0,965
