tamilnadu,black soil
tamilnadu,laterite soil
tamilnadu,alluvial soil
punjab,saline and alkaline soil
punjab,arid and desert soil
punjab,alluvial soil
andhrapradesh,black soil
andhrapradesh,red soil
westbengal ,saline and alkaline soil
gujarat,alluvial soil
gujarat,black soil
gujarat,arid and desert soil
gujarat,saline and alkaline soil
haryana,alluvial soil
haryana,saline and alkaline soil
uttarpradesh,alluvial soil
uttarpradesh,red soil
madhyapradesh,laterite soil
madhyapradesh,black soil
assam,laterite soil
kerala,laterite soil
orrisa,laterite soil
chattisgarh,red soil
